date,btc_price_usd_open,btc_price_usd_high,btc_price_usd_low,btc_price_usd_close,btc_open_interest,btc_funding_rates,eth_price_usd_open,eth_price_usd_high,eth_price_usd_low,eth_price_usd_close,eth_open_interest,eth_funding_rates,btc_mpi,btc_estimated_leverage_ratio,btc_stablecoin_supply_ratio,btc_reserve,btc_reserve_usd,btc_netflow_total,eth_reserve,eth_reserve_usd,eth_netflow_total
5/30/2021,34608.10333,36503.31,33393.98333,35654.15333,3719732181,0.006898,2279.046667,2477.07,2181.105,2386.746667,1708002689,0.01476619,-0.713358337,0.09609055,11.79351389,2491675.169,88838568517,-1388.973344,20986795.76,50090164826,-39850.01942
5/29/2021,35671.49667,37329.295,33643.615,34607.60333,3715204561,0.00608647,2412.691667,2574.746667,2206.723333,2278.973333,1648683744,0.0269315,-0.691029642,0.09881399,11.4726636,2493064.142,86278974908,-423.4188905,21026645.78,47919165023,-31128.92458
5/28/2021,38541.15,38887.02333,34696.335,35672.23,3843938392,0.0013031,2742.563333,2762.175,2328.363333,2412.723333,1692717964,0.01192163,-0.566495967,0.10001155,11.86011453,2493487.561,88948261771,7158.23379,21057774.7,50806584379,-225291.151
5/27/2021,39249.265,40427.08833,37143.23667,38539.91667,3617293440,-0.00121846,2886.293333,2890.886667,2636.456667,2742.58,1701567163,0.01681006,-0.674259164,0.08667367,12.86871938,2486329.327,95822925069,6700.305316,21283065.86,58370510755,44024.4895
5/26/2021,38341.87167,40864.76333,37813.69167,39249.845,3696384864,0.00756951,2705.923333,2912.038333,2644.613333,2886.285,1817908900,0.03661811,-0.464398076,0.08678266,13.19844103,2479629.022,97325054759,5511.169661,21239041.37,61301926510,-3514.502603
5/25/2021,38826.75167,39815.05333,36437.51667,38341.54667,3558464309,0.00437004,2649.135,2751.686667,2382.311667,2705.796667,1709903858,0.00501612,-0.554944356,0.08566514,13.0103877,2474117.852,94861505083,2660.211493,21242555.87,57478036862,16877.10348
5/24/2021,34704.63,39938.275,34364.64667,38822.79333,3569780370,-0.00576796,2097.761667,2676.338333,2080.998333,2649.023333,1648826595,0.03083985,-0.462707906,0.08502322,13.24831055,2471457.641,95948889211,-9081.5894,21225678.77,56227318316,-44749.87914
5/23/2021,37464.95167,38282.57,31102.74167,34698.58333,3364736242,-0.01464884,2295.528333,2381.706667,1729.298333,2097.786667,1593852570,0.02638511,-0.467350722,0.08749306,11.89370377,2480539.23,86071197182,-5350.294384,21270428.64,44620821605,582036.2959
5/22/2021,37281.66333,38852.97333,35217.58833,37462.93167,3417720656,-0.00397114,2432.18,2485.81,2152.961667,2295.378333,1617796575,0.061785,-0.558035637,0.08237751,12.82336349,2485889.524,93128709381,5272.017805,20688392.35,47487687549,1262.489025
5/21/2021,40539.02167,42248.815,33495,37279.98833,3566171160,-0.01631267,2770.76,2940.558333,2101.833333,2432.19,1734770549,-0.00394981,-0.549379821,0.0862273,12.84754978,2480617.507,92477391703,-16540.36981,20687129.86,50315030373,-27889.15375
5/20/2021,36706.91333,42461.585,34921.51333,40538.83167,3446311199,-0.03627066,2441.73,2992.943333,2157.523333,2770.996667,1774296808,0.02511509,-0.260585966,0.07636206,14.24869652,2497157.876,1.01232E+11,9582.470103,20715019.01,57401248636,9189.472051
